id,questions,category
0,저기 ㅇㅇ 레이저워싱 데님 삼종 있잖아요.,주문
1,오후에 가져가셨는데요?,교환반품
2,네 저기 방송에 나온 신발 주문하려고요.,주문
3,네 그러면 냄비는 안 주는 거예요?,사은품
4,네 그러니까요. 냄비하고 작은 냉장고 주는 거예요?,사은품
5,예 삼십육개월 할부로 해주세요.,결제
6,국민 카드고요. 처음부터 다 불러요?,결제
7,이백사십 팔만 구천원이요?,결제
8,네 그러면 나중에 카드 결제한 청구서에 나오죠?,결제
9,그리고 상품은 언제 오나요?,배송
10,네 연휴 지나서 삼일 이내에요?,배송
11,네 감사해요. 사전에 미리 전화주세요.,연락요청
12,방송중인 청바지 구매하려구요.,주문
13,그러면은 환불 처리는 기다리면 되는 거죠?,환불
14,네 그런데 정확하게 언제 오는 거예요?,교환반품
15,며칠 날 정도라도 모르나요?,배송
16,조립을 했는데 포장을 어떻게 하나요?,포장
17,받아보고 문제가 있으면 반품되지요?,교환반품
18,"네, 반품하러 오실 때 전화 주시는 건가요?",교환반품
19,아 그냥 카키 색상으로 오오로 해주시면 안될까요?,상품
20,어제도 말씀 드렸잖아요. 두번이나 얘기했었어요.,불만접수
21,내가 그거 바로 가져가라고요. 냉동실에 공간이 없다고요.,교환반품
22,박스에다가 지금 집에 있는 아이스팩 넣어놨거든요?,배송
23,내가 아이스팩 넣어 놓긴 하겠는데 나중에 상해도 모른다고 분명 말씀드렸어요.,배송
24,ㅇㅇ쇼핑을 믿고 주문 했던 건데요. 일단 기사한테 미리 전화하고 오시라고 말해줘요.,연락요청
25,세상에 물건을 어떻게 그런 걸 보내요? 이십일 센치도 안 되는 거 같아요. ,상품
26,보시면 아시겠지만 이십칠 센치가 어디 있어요? 이십일 센치도 겨우 찾아봐야 되는데요?,상품
27,고객한테 그렇게 하면 안 돼요. 최대한 빨리 해주세요.,교환반품
28,근데 여기는 어제도 전화가 왔는데 다른 분한테 또 전화가 왔네요?,연락요청
29,제가 처음에도 말씀 드렸듯이 이게 이십칠 센치가 안되면 내가 반품한다고 했습니다.,교환반품
30,나중에 한번 보세요. 이십칠 센치가 어디 있는지요. 넓이도 그렇고 물건도 완전 싱싱한 게 아닌 것 같아요.,상품
31,명절이라서 당장 회수가 불가능하고 열흘 이상 오래 걸린다는 거를 이용하고 명절 전에 물건을 다른 걸 보낸 것 같다니까요.,상품
32,최대한 빨리 회수나 좀 해봐주세요.,교환반품
33,이게 교환 받았던 것도 불량이더라고요.,상품
34,죄송하지만 언제쯤 배송이 가능한가요?,배송
35,제품이 어떤 건가요?,교환반품
36,"네, 오늘은 마감이 되었고요. 월요일 날 회수 송장을 다시 내리겠습니다.",배송
37,"네, 그냥 개별로 신청을 하려고 하거든요. 주실 때 운송장 번호랑 같이 주시겠어요?",배송
38,"네, 그렇긴 한데요. 안 된다 하니 개별로 신청을 하려고 하거든요. 전산으로 다 하셔도 상관은 없는데요. 운송장 번호 주시면 주문 신청을 넣을게요.",배송
39,물건은 십오일 날 반품이 됐습니다.,교환반품
40,그럼 언제 온다고요?,교환반품
41,그럼 이십일간 보관해 달라고 하는 겁니까?,배송
42,이십일 정도 보관해달라는 거는 진짜 너무하네요.,배송
43,그런데 이제 전화와서는 수거 마감이니까 이십일간 냉동 보관해 달라고 하면 어떻게 합니까?,배송
44,그러면 그 카드 승인은 어떻게 됩니까? 그것도 물어보고 결제 처리되는 건가요?,취소
45,제가 카드로 결제를 했는데 그러면 어떻게 진행되는 거예요?,취소
46,제가 육만 얼마를 카드로 결제했거든요?,결제
47,아니 지금 내가 신용 카드로 결제를 한 거 있잖아요? 승인 취소를 그쪽에서 시킬 거잖아요?,취소
48,그럼 언제 청구가 되나요?,결제
49,그러면 오개월 할부 했는데 그렇게 계속 진행 된다고요?,환불
50,그러면은 그 택배 기사가 언제 온다는 겁니까? 연락은 옵니까?,교환반품
51,언제 온다고요?,교환반품
52,아 그래요? ㅇㅇ쇼핑이라고 하셨죠?,고객정보
53,아 그러세요? 지금 바로 확인이 안 되시거든요. 주문 번호 하나 주시겠어요?,주문
54,"네, ㅇㅇㅇㅇ ㅇㅇㅇ번인가요?",주문
55,"네, 지금 주문하신 모델이 어떻게 되세요?",주문
56, 청바지 주문하려구요.,주문
57,패딩 잠바라고 제가 얘기 하면서요?,주문
58,아니 내가 주문을 안했다고요. 내가 했다고 하면 이렇게까지 내가 카드사에도 전화를 하고 여기다가도 전화를 안하겠죠.,주문
59,맞는데요. 일단 그거 취소해 주세요. 내가 착각했네요.,취소
60,그 배송 기사분한테 전화가 오죠?,배송
61,언제 오나요?,배송
62,네 알겠습니다. 취소시켜주세요.,취소
63,보내시는 상품이 네이비로 보내는 거 맞나요?,교환반품
64,네 근데 문자가 안 와가지고 다시 전화해서 카드로 결제했어요.,결제
65,국민카드 결제가 끝났는데요?,결제
66,예 그런데 이미 카드 결제가 끝났는데요?,결제
67,아니 카드 결제가 돼있다구요.,결제
68,"네, 먼지도 너무 많이 나고 상품도 좀 그래요.",상품
69,방송하는 벤치코트 블랙으로 주문하려고 하는데요. ,주문
70,길이가 무릎 정도까지 오는 건가요?,상품
71,고객님 성함이 어떻게 되시나요?,고객정보
72,"네, 알겠습니다. 그러면 상품 받고 나면 물건을 다시 보내주는 건가요?",교환반품
73,"네, 그러면 배송 때 연락이 오나요?",배송
74,아 그러면 색깔이 틀리게 올 수 있으니까 블랙이라고 꼭 전해주세요.,교환반품
75,수고하십니다. 지금 방송 중인 바지 주문하려고 하는데요.,주문
76,그러면 교환도 부분으로는 안 된다는 말씀인가요?,교환반품
77,네 지금 바지 주문하려고 하는데요.,주문
78, 방송을 보고 있는데요.,상품
79,청바지 삼종 사만구천원 맞나요?,가격
80, 아 그러면 사이즈가 어떻게 나와있나요? ,상품
81, 아 그러면 이십구로 주문할게요. ,주문
82,아 그래요? 이거 반품은 어떻게 해요?,교환반품
83,박스가 없어요.,포장
84,그러면 왜 연락을 안 주는 거에요? 보냈으면 연락을 해야 할 거 아니에요. 문자라도 주던가요.,불만접수
85,내가 분명히 집에 놔두라고 했는데 왜 경비실에 갖다놔서 일을 만드는 거에요? ,불만접수
86,내가 확인해 보고 다시 연락을 줄게요.,연락요청
87, 네 지금 방송에 나오는 바지요. 주문하려고 하는데요.,주문
88,예 결제할 신용 카드가 남편 명의인데  결제할수 있는거죠?,결제
89, 색상이 각각 세 개 오는 거 맞나요?,상품
90,수거해 갈 때 연락주시나요?,교환반품
91,네 지금 방송하는 상품 구입하고 싶어서요. ,주문
92,  지금 방송 중인 밴딩 바지 주문하려고 하는데요.,주문
93,네 하나 있죠?,결제
94,어떤 카드가 등록돼 있어요?,결제
95,하나 카드 아니고 신한 카드네요?,결제
96,ㅇㅇㅇㅇ이요.,결제
97,"네, 언제 와요?",교환반품
98,아 저기 수거를 다른 주소로 하면 안 될까요?,교환반품
99, 아 지금 방송 중인 거 구매 좀 하려고요. ,주문
100,방송 중인 상품 주문하려고 하는데요.,주문
101, 지금 ㅇㅇ쇼핑에 나오는 밴딩 바지 주문하려고 하는데요.,주문
102,사이즈가 어떻게 나오나요?,상품
103,그럼 제가 다른 상품은 이십팔 사이즈를 입는데 육육 사이즈 주문하면 맞을까요?,상품
104,그렇죠? 그럼 육육 사이즈로 해주세요.,상품
105,그럼 어쩔 수 없죠. 현금으로 결제할게요.,결제
106,"네, 그렇게 해주세요. 아 그리고 문자가 왔는데 칠만 사천구백 원 맞나요?",결제
107,"네, 오늘 입금을 하면은 언제 배송이 되나요?",배송
108,그럼 언제 와요?,교환반품
109,아니 그게 아니잖아요. 물건을 보내줘야죠. ,배송
110,내가 구매를 했고 어쨌거나 문제가 있어서 그런거잖아요. 냉동실에 갖다놓고 그 와중에 기다리라고 하는 거에요?,불만접수
111,이건 ㅇㅇ쇼핑에서 연락할 게 아니고 본사에서 연락을 해야지. ,불만접수
112,아니 이런 일이 발생하면 연락을 해서 미안하다고 연락이 와야지 본사는 잘못한 게 하나도 없어. ,불만접수
113,이제 언제 온다고 했죠?,교환반품
114,"네, 또 뭐 사은품 주는 거 있어요?",사은품
115,"네, 이게 부분 교환인데 블랙으로 된 상품을 말하는 건가요?",교환반품
116,아 그러면 제가 직장을 다니다 보니 연락을 주셔야 할 것 같거든요.,연락요청
117,아 그리고 박스에다가 그냥 넣으면 되는 거죠?,포장
118, 지금 방송 나오는 패딩 주문하려구요.,주문
119, 그레이 백 사이즈 주문하겠습니다.,주문
120, 지금 방송하는 거 주문하려구요.,주문
121,다른 전화번호로 가입되어 있을거예요. 확인 좀 해주세요.,고객정보
122,다른 카드번호 말씀드릴게요.,결제
123, 지금 청바지 방송하고 있는거요.,상품
124,벤치 코트 주문하려구요.,주문
125,남녀공용은 사이즈가 크게 나오나요?,상품
126,구십오로 주세요.,상품
127,네 택배 아저씨 오시면 교환하면 되는 건가요?,교환반품
128,네 방문 전에 문자를 주시는 건가요?,배송
129,"네, 지금 저 운동화 선전하는 거 있죠?",상품
130,세트로 해서 사만 구천구백원 맞아요?,가격
131,그러면 삼십으로 주문할려고 하는데요.,주문
132,사만 팔천구백원 아니고요?,가격
133,네 어떻게 해야 되나요?,결제
134,죄송한데 어떤 카드인지 잘 모르겠는데 현대 카드인가요?,결제
135,맞는지 모르겠네. ㅇㅇㅇㅇ이요.,결제
136,그럼 어떻게 하죠?,결제
137,카드 등록하면 다음에 살 때 또 사용할 수 있어요?,결제
138,등록 안 해도 돼요. 그때 그때 맞춰서 할게요.,결제
139,방송하는 벤치코트 구십오 블랙있나요?,상품
140, 네. 그런데 사이즈가  크게 나왔나요?,상품
141,그럼 백으로 바꿔 주세요.,상품
142, 네. 이거 만약에 사이즈로 인해서 교환하게 되면 어떻게 해야죠? ,교환반품
143, 택배비는 저희가 부담인가요?,배송
144,제가 주문하려고 했는데요.,주문
145, 자동 주문 안되나요? ,주문
146," 네, 남자 거로 해주세요.",주문
147,지금 자동 주문하고 있었는데요?,주문
148,아 그래요. 그럼 반반 할게요.,상품
149,신한 은행 가능한가요?,결제
150, 청바지 남자 거 주문하려고 그러거든요. ,주문
151,운송장이요?,배송
152,네 언제쯤 가능할까요?,환불
